update,lr
784,7.611650485436893e-06
785,7.6213592233009715e-06
786,7.63106796116505e-06
787,7.640776699029126e-06
788,7.650485436893204e-06
789,7.660194174757282e-06
790,7.66990291262136e-06
791,7.679611650485439e-06
792,7.689320388349515e-06
793,7.699029126213592e-06
794,7.70873786407767e-06
795,7.718446601941748e-06
796,7.728155339805825e-06
797,7.737864077669903e-06
798,7.747572815533981e-06
799,7.757281553398059e-06
800,7.766990291262136e-06
801,7.776699029126214e-06
802,7.786407766990292e-06
803,7.79611650485437e-06
804,7.805825242718447e-06
805,7.815533980582525e-06
806,7.825242718446603e-06
807,7.83495145631068e-06
808,7.844660194174758e-06
809,7.854368932038836e-06
810,7.864077669902913e-06
811,7.873786407766991e-06
812,7.883495145631069e-06
813,7.893203883495147e-06
814,7.902912621359224e-06
815,7.912621359223302e-06
816,7.92233009708738e-06
817,7.932038834951457e-06
818,7.941747572815535e-06
819,7.951456310679613e-06
820,7.96116504854369e-06
821,7.970873786407768e-06
822,7.980582524271844e-06
823,7.990291262135924e-06
824,8.000000000000001e-06
825,8.009708737864077e-06
826,8.019417475728157e-06
827,8.029126213592233e-06
828,8.038834951456312e-06
829,8.04854368932039e-06
830,8.058252427184466e-06
831,8.067961165048545e-06
832,8.077669902912621e-06
833,8.087378640776699e-06
834,8.097087378640778e-06
835,8.106796116504854e-06
836,8.116504854368932e-06
837,8.12621359223301e-06
838,8.135922330097088e-06
839,8.145631067961165e-06
840,8.155339805825243e-06
841,8.16504854368932e-06
842,8.174757281553398e-06
843,8.184466019417476e-06
844,8.194174757281554e-06
845,8.203883495145632e-06
846,8.21359223300971e-06
847,8.223300970873787e-06
848,8.233009708737865e-06
849,8.242718446601942e-06
850,8.25242718446602e-06
851,8.262135922330098e-06
852,8.271844660194175e-06
853,8.281553398058253e-06
854,8.291262135922331e-06
855,8.300970873786409e-06
856,8.310679611650486e-06
857,8.320388349514564e-06
858,8.330097087378642e-06
859,8.33980582524272e-06
860,8.349514563106797e-06
861,8.359223300970875e-06
862,8.368932038834953e-06
863,8.37864077669903e-06
864,8.388349514563108e-06
865,8.398058252427184e-06
866,8.407766990291263e-06
867,8.417475728155341e-06
868,8.427184466019419e-06
869,8.436893203883497e-06
870,8.446601941747573e-06
871,8.456310679611652e-06
872,8.46601941747573e-06
873,8.475728155339806e-06
874,8.485436893203885e-06
875,8.495145631067961e-06
876,8.504854368932039e-06
877,8.514563106796118e-06
878,8.524271844660194e-06
879,8.533980582524272e-06
880,8.54368932038835e-06
881,8.553398058252427e-06
882,8.563106796116507e-06
883,8.572815533980583e-06
884,8.58252427184466e-06
885,8.592233009708738e-06
886,8.601941747572816e-06
887,8.611650485436894e-06
888,8.621359223300971e-06
889,8.631067961165049e-06
890,8.640776699029127e-06
891,8.650485436893204e-06
892,8.660194174757282e-06
893,8.66990291262136e-06
894,8.679611650485438e-06
895,8.689320388349515e-06
896,8.699029126213593e-06
897,8.70873786407767e-06
898,8.718446601941748e-06
899,8.728155339805826e-06
900,8.737864077669904e-06
901,8.747572815533982e-06
902,8.75728155339806e-06
903,8.766990291262137e-06
